problem_id,cn_link,en_link,title,translated_title,difficulty,date,remarks
1431,https://leetcode.cn/problems/kids-with-the-greatest-number-of-candies/,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies/,Kids With the Greatest Number of Candies,拥有最多糖果的孩子,Easy,2024-07-26,
15,https://leetcode.cn/problems/3sum/,https://leetcode.com/problems/3sum/,3Sum,三数之和,Medium,2024-06-15,
150,https://leetcode.cn/problems/evaluate-reverse-polish-notation/,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Evaluate Reverse Polish Notation,逆波兰表达式求值,Medium,2024-07-21,stack
151,https://leetcode.cn/problems/reverse-words-in-a-string/,https://leetcode.com/problems/reverse-words-in-a-string/,Reverse Words in a String,反转字符串中的单词,Medium,2024-06-01,
1679,https://leetcode.cn/problems/max-number-of-k-sum-pairs/,https://leetcode.com/problems/max-number-of-k-sum-pairs/,Max Number of K-Sum Pairs,K 和数对的最大数目,Medium,2024-07-26,
1768,https://leetcode.cn/problems/merge-strings-alternately/,https://leetcode.com/problems/merge-strings-alternately/,Merge Strings Alternately,交替合并字符串,Easy,2024-05-31,
1768,https://leetcode.cn/problems/merge-strings-alternately/,https://leetcode.com/problems/merge-strings-alternately/,Merge Strings Alternately,交替合并字符串,Easy,2024-07-26,
18,https://leetcode.cn/problems/4sum/,https://leetcode.com/problems/4sum/,4Sum,四数之和,Medium,2024-06-15,
19,https://leetcode.cn/problems/remove-nth-node-from-end-of-list/,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Remove Nth Node From End of List,删除链表的倒数第 N 个结点,Medium,2024-06-05,
20,https://leetcode.cn/problems/valid-parentheses/,https://leetcode.com/problems/valid-parentheses/,Valid Parentheses,有效的括号,Easy,2024-07-21,use stack
202,https://leetcode.cn/problems/happy-number/,https://leetcode.com/problems/happy-number/,Happy Number,快乐数,Easy,2024-06-11,
202,https://leetcode.cn/problems/happy-number/,https://leetcode.com/problems/happy-number/,Happy Number,快乐数,Easy,2024-08-04,
203,https://leetcode.cn/problems/remove-linked-list-elements/,https://leetcode.com/problems/remove-linked-list-elements/,Remove Linked List Elements,移除链表元素,Easy,2024-06-03,
205,https://leetcode.cn/problems/isomorphic-strings/,https://leetcode.com/problems/isomorphic-strings/,Isomorphic Strings,同构字符串,Easy,2024-08-05,
206,https://leetcode.cn/problems/reverse-linked-list/,https://leetcode.com/problems/reverse-linked-list/,Reverse Linked List,反转链表,Easy,2024-06-05,
209,https://leetcode.cn/problems/minimum-size-subarray-sum/,https://leetcode.com/problems/minimum-size-subarray-sum/,Minimum Size Subarray Sum,长度最小的子数组,Medium,2024-06-03,
225,https://leetcode.cn/problems/implement-stack-using-queues/,https://leetcode.com/problems/implement-stack-using-queues/,Implement Stack using Queues,用队列实现栈,Easy,2024-07-21,可以用一个queue 也可以用两个queue
232,https://leetcode.cn/problems/implement-queue-using-stacks/,https://leetcode.com/problems/implement-queue-using-stacks/,Implement Queue using Stacks,用栈实现队列,Easy,2024-07-21,学习了基本的stack和queue知识
239,https://leetcode.cn/problems/sliding-window-maximum/,https://leetcode.com/problems/sliding-window-maximum/,Sliding Window Maximum,滑动窗口最大值,Hard,2024-07-24,deque
24,https://leetcode.cn/problems/swap-nodes-in-pairs/,https://leetcode.com/problems/swap-nodes-in-pairs/,Swap Nodes in Pairs,两两交换链表中的节点,Medium,2024-06-05,
242,https://leetcode.cn/problems/valid-anagram/,https://leetcode.com/problems/valid-anagram/,Valid Anagram,有效的字母异位词,Easy,2024-06-08,
26,https://leetcode.cn/problems/remove-duplicates-from-sorted-array/,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Remove Duplicates from Sorted Array,删除有序数组中的重复项,Easy,2024-05-09,
27,https://leetcode.cn/problems/remove-element/,https://leetcode.com/problems/remove-element/,Remove Element,移除元素,Easy,2024-05-31,
27,https://leetcode.cn/problems/remove-element/,https://leetcode.com/problems/remove-element/,Remove Element,移除元素,Easy,2024-06-03,
3,https://leetcode.cn/problems/longest-substring-without-repeating-characters/,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Longest Substring Without Repeating Characters,无重复字符的最长子串,Medium,2024-07-28,
334,https://leetcode.cn/problems/increasing-triplet-subsequence/,https://leetcode.com/problems/increasing-triplet-subsequence/,Increasing Triplet Subsequence,递增的三元子序列,Medium,2024-06-01,
347,https://leetcode.cn/problems/top-k-frequent-elements/,https://leetcode.com/problems/top-k-frequent-elements/,Top K Frequent Elements,前 K 个高频元素,Medium,2024-07-24,PriorityQueue
349,https://leetcode.cn/problems/intersection-of-two-arrays/,https://leetcode.com/problems/intersection-of-two-arrays/,Intersection of Two Arrays,两个数组的交集,Easy,2024-06-11,
36,https://leetcode.cn/problems/valid-sudoku/,https://leetcode.com/problems/valid-sudoku/,Valid Sudoku,有效的数独,Medium,2024-08-04,
383,https://leetcode.cn/problems/ransom-note/,https://leetcode.com/problems/ransom-note/,Ransom Note,赎金信,Easy,2024-06-15,
383,https://leetcode.cn/problems/ransom-note/,https://leetcode.com/problems/ransom-note/,Ransom Note,赎金信,Easy,2024-07-31,
392,https://leetcode.cn/problems/is-subsequence/,https://leetcode.com/problems/is-subsequence/,Is Subsequence,判断子序列,Easy,2024-06-01,
443,https://leetcode.cn/problems/string-compression/,https://leetcode.com/problems/string-compression/,String Compression,压缩字符串,Medium,2024-06-01,
45,https://leetcode.cn/problems/jump-game-ii/,https://leetcode.com/problems/jump-game-ii/,Jump Game II,跳跃游戏 II,Medium,2024-07-28,
454,https://leetcode.cn/problems/4sum-ii/,https://leetcode.com/problems/4sum-ii/,4Sum II,四数相加 II,Medium,2024-06-11,
495,https://leetcode.cn/problems/teemo-attacking/,https://leetcode.com/problems/teemo-attacking/,Teemo Attacking,提莫攻击,Easy,2024-07-26,
55,https://leetcode.cn/problems/jump-game/,https://leetcode.com/problems/jump-game/,Jump Game,跳跃游戏,Medium,2024-07-28,
59,https://leetcode.cn/problems/spiral-matrix-ii/,https://leetcode.com/problems/spiral-matrix-ii/,Spiral Matrix II,螺旋矩阵 II,Medium,2024-06-03,
605,https://leetcode.cn/problems/can-place-flowers/,https://leetcode.com/problems/can-place-flowers/,Can Place Flowers,种花问题,Easy,2024-05-31,
605,https://leetcode.cn/problems/can-place-flowers/,https://leetcode.com/problems/can-place-flowers/,Can Place Flowers,种花问题,Easy,2024-07-26,
649,https://leetcode.cn/problems/dota2-senate/,https://leetcode.com/problems/dota2-senate/,Dota2 Senate,Dota2 参议院,Medium,2024-07-26,
66,https://leetcode.cn/problems/plus-one/,https://leetcode.com/problems/plus-one/,Plus One,加一,Easy,2024-05-09,
704,https://leetcode.cn/problems/binary-search/,https://leetcode.com/problems/binary-search/,Binary Search,二分查找,Easy,2024-06-01,
707,https://leetcode.cn/problems/design-linked-list/,https://leetcode.com/problems/design-linked-list/,Design Linked List,设计链表,Medium,2024-06-05,
71,https://leetcode.cn/problems/simplify-path/,https://leetcode.com/problems/simplify-path/,Simplify Path,简化路径,Medium,2024-08-05,
80,https://leetcode.cn/problems/remove-duplicates-from-sorted-array-ii/,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Remove Duplicates from Sorted Array II,删除有序数组中的重复项 II,Medium,2024-05-09,
977,https://leetcode.cn/problems/squares-of-a-sorted-array/,https://leetcode.com/problems/squares-of-a-sorted-array/,Squares of a Sorted Array,有序数组的平方,Easy,2024-06-03,
